  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:04:36	  -4.000	  188.53	 1008.72	   21.05	 1040.09	   1.194	  -29.77	  309.33	  333.60	  187.76	   78.35	   18.03	   -6.33	  -39.76	  -55.51	  -65.78	  -61.55	  -75.46	  -76.72	  -77.13	  -67.22	  -62.32	  -52.13	  -40.84	  -30.47	  -22.46	  -15.53	   -8.71	    0.06	   40.59	   29.46	  -28.47	 -725.79	 -494.75	 -362.89	 -268.31	 -196.41	 -165.63	 -143.47	 -129.60	 -117.19	 -105.81	  -95.86	  -86.96	  -78.06	  -69.29	  -61.01	  -51.82	  -41.79	  -30.63	  -18.95	   -5.96	    7.60	   21.56	   29.46	  395.81	  393.65	  395.73	  396.87	  394.86	  394.09	  396.12	  394.58	  396.06	  395.66	  395.24	  395.20	  396.05	  395.90	  395.65	  395.52	  395.91	  396.35	  396.38	  395.81	  394.81	  388.85	  365.96	  333.52	  316.68	  340.14	  368.04	  385.89	  392.27	  396.16	  394.74	  395.34	  395.77	  393.88	  394.94	  394.89	  395.25	  395.56	  395.03	  395.75	  395.65	  395.05	  395.22	  394.86	  395.61	  395.42	  396.14	  394.58	   20.60	   18.40	   19.76	   19.48	   19.53	   20.75	   21.13	   20.86	   22.06	   21.41	   21.36	   16.85	   -0.20	    0.12	    0.21	    0.21
       2	 12:05:05	  -3.000	  187.59	 1008.74	   21.20	 1039.82	   1.194	  108.57	  312.90	  300.63	  146.07	   38.09	   -7.30	  -34.52	  -63.03	  -77.96	  -85.04	  -78.99	  -90.44	  -90.81	  -87.06	  -77.89	  -72.01	  -59.13	  -48.10	  -38.40	  -30.32	  -24.81	  -17.42	   20.70	   46.45	   26.49	  107.89	 -509.00	 -384.72	 -277.35	 -213.13	 -174.81	 -148.29	 -129.18	 -116.70	 -105.63	  -95.96	  -87.14	  -76.62	  -66.46	  -56.96	  -49.81	  -42.19	  -33.93	  -24.19	  -13.57	   -1.61	   11.31	   25.08	   26.49	  396.90	  394.68	  396.81	  397.96	  395.98	  394.99	  397.02	  395.43	  397.07	  396.83	  396.13	  396.30	  397.14	  396.91	  396.72	  396.64	  396.99	  397.39	  397.42	  396.78	  394.51	  381.03	  351.15	  331.25	  336.13	  367.15	  386.14	  392.61	  394.05	  397.47	  395.82	  396.48	  396.37	  397.65	  395.38	  395.36	  395.81	  396.20	  395.61	  396.17	  396.23	  395.67	  395.86	  395.24	  396.20	  395.78	  396.67	  395.21	   20.46	   19.21	   20.47	   20.08	   19.96	   21.28	   21.31	   21.09	   22.15	   21.36	   21.27	   17.75	    0.15	    0.10	    0.17	    0.20
       3	 12:05:26	  -2.000	  187.55	 1008.82	   21.27	 1040.18	   1.194	  232.85	  296.53	  257.22	  100.79	    4.92	  -41.76	  -63.52	  -87.42	  -99.01	 -103.78	  -94.95	 -104.74	 -102.38	  -98.64	  -86.67	  -79.92	  -65.66	  -56.46	  -46.52	  -40.26	  -34.21	  -13.30	   29.30	   46.08	   20.27	  232.28	 -302.90	 -274.04	 -211.39	 -168.30	 -140.76	 -119.89	 -105.97	  -96.19	  -87.84	  -80.07	  -73.30	  -67.03	  -60.96	  -54.94	  -49.06	  -42.69	  -36.06	  -29.16	  -22.68	  -15.39	    0.33	   26.49	   20.27	  394.48	  392.47	  394.58	  395.64	  393.60	  392.80	  394.79	  393.09	  394.76	  394.55	  394.11	  393.92	  394.92	  394.56	  394.42	  394.46	  394.46	  395.04	  395.07	  392.86	  382.16	  361.23	  341.62	  345.81	  360.11	  381.78	  391.07	  391.71	  391.98	  395.21	  393.73	  394.14	  394.48	  392.22	  393.72	  393.54	  393.83	  394.42	  393.83	  394.41	  394.22	  393.73	  393.81	  393.54	  394.44	  393.87	  394.94	  393.34	   19.77	   19.34	   20.59	   20.12	   19.90	   21.24	   20.20	   20.93	   21.66	   20.75	   20.65	   18.08	   -0.21	    0.14	    0.18	    0.21
       4	 12:05:51	  -1.000	  185.18	 1008.76	   21.35	 1040.23	   1.193	  323.71	  272.40	  204.65	   49.28	  -35.34	  -75.59	  -91.52	 -113.66	 -120.56	 -122.57	 -111.43	 -118.98	 -116.02	 -109.63	  -96.34	  -89.40	  -74.66	  -65.67	  -55.97	  -51.15	  -41.29	    9.82	   28.97	   43.68	   25.40	  322.89	 -117.60	 -168.62	 -146.21	 -123.70	 -106.57	  -92.99	  -83.09	  -76.16	  -70.21	  -64.43	  -59.21	  -54.69	  -49.51	  -44.42	  -39.16	  -33.20	  -26.57	  -19.76	  -13.45	   -7.57	   -2.48	    3.71	   25.40	  394.61	  392.58	  394.73	  395.79	  393.82	  392.95	  394.97	  393.20	  394.96	  394.65	  394.00	  394.05	  395.13	  394.69	  394.43	  394.64	  394.60	  394.79	  392.62	  383.09	  360.92	  344.57	  346.95	  364.83	  378.52	  391.53	  393.89	  392.23	  392.33	  395.24	  394.07	  394.36	  394.29	  394.58	  393.38	  393.26	  393.64	  394.12	  393.67	  394.21	  394.25	  393.69	  393.74	  393.44	  394.86	  393.94	  394.74	  393.20	   19.70	   20.15	   21.35	   20.76	   19.51	   21.70	   20.58	   21.25	   21.80	   20.78	   20.66	   19.04	    0.40	    0.13	    0.17	    0.19
       5	 12:06:27	  -0.000	  187.16	 1008.87	   21.46	 1039.72	   1.193	  376.61	  229.23	  143.16	   -0.69	  -81.81	 -111.98	 -122.64	 -140.42	 -144.04	 -143.79	 -129.74	 -134.75	 -129.21	 -123.38	 -107.94	  -98.80	  -84.27	  -75.36	  -66.94	  -62.46	  -26.57	   10.96	   26.56	   41.59	   39.92	  375.10	   42.13	  -68.55	  -83.36	  -81.42	  -73.43	  -66.41	  -59.79	  -55.72	  -52.18	  -48.32	  -44.87	  -41.48	  -37.72	  -33.63	  -29.32	  -24.06	  -17.73	  -10.81	   -4.06	    2.39	    7.60	   11.54	   39.92	  395.39	  393.35	  395.45	  396.54	  394.57	  393.73	  395.67	  393.85	  395.79	  395.55	  394.77	  394.91	  396.11	  395.50	  395.36	  395.28	  394.09	  390.99	  380.52	  362.16	  349.44	  352.06	  364.11	  378.82	  386.32	  394.23	  394.73	  392.80	  392.97	  396.00	  394.71	  395.07	  395.27	  395.86	  394.33	  394.12	  394.54	  394.97	  394.41	  395.00	  395.08	  394.45	  394.38	  394.17	  395.79	  394.66	  395.47	  394.05	   19.11	   20.54	   21.73	   20.98	   17.29	   21.71	   21.16	   21.11	   21.38	   20.27	   20.13	   19.58	    0.07	    0.13	    0.17	    0.19
       6	 12:07:03	   1.000	  185.86	 1008.76	   21.58	 1040.02	   1.192	  385.80	  151.02	   54.92	  -75.08	 -139.66	 -161.48	 -164.91	 -175.17	 -176.49	 -170.98	 -156.16	 -157.00	 -149.11	 -142.23	 -125.47	 -116.09	 -101.10	  -94.45	  -86.41	  -77.09	  -17.68	    1.16	   14.44	   29.91	   43.30	  385.79	  190.14	   39.72	  -12.24	  -29.40	  -33.82	  -32.15	  -31.05	  -29.86	  -28.78	  -27.07	  -25.31	  -23.52	  -20.98	  -18.01	  -14.66	  -10.15	   -4.44	    1.90	    8.57	   15.52	   20.97	   24.89	   43.30	  393.76	  391.80	  393.93	  394.88	  393.14	  392.12	  394.08	  392.46	  394.27	  393.97	  393.23	  393.34	  394.31	  393.97	  393.71	  393.81	  393.91	  394.39	  394.46	  393.64	  391.18	  382.39	  361.34	  342.46	  339.29	  360.40	  378.34	  387.90	  391.08	  394.45	  393.24	  393.58	  393.84	  394.16	  392.80	  392.76	  393.16	  393.67	  393.21	  393.65	  393.72	  393.32	  393.14	  392.83	  394.50	  393.40	  394.14	  392.82	   18.30	   20.98	   22.08	   21.07	   20.24	   20.44	   20.29	   20.43	   20.94	   19.64	   19.43	   20.24	   -0.46	    0.12	    0.17	    0.20
       7	 12:07:21	   2.000	  187.46	 1008.77	   21.63	 1040.32	   1.192	  376.91	   70.05	  -28.14	 -146.49	 -194.49	 -203.13	 -199.72	 -204.97	 -202.80	 -194.46	 -176.70	 -175.77	 -165.54	 -156.56	 -139.69	 -128.69	 -115.89	 -109.90	 -103.04	  -44.10	  -20.88	   -3.94	   10.35	   27.87	   45.24	  377.56	  288.16	  119.73	   44.34	   10.69	   -0.35	   -4.86	   -8.24	   -9.76	  -10.98	  -11.04	  -10.91	  -10.49	   -9.44	   -7.63	   -5.47	   -2.04	    2.68	    8.47	   15.02	   22.43	   29.01	   34.54	   45.24	  396.78	  394.84	  396.55	  397.80	  396.18	  395.14	  397.06	  395.46	  397.24	  396.88	  395.92	  396.28	  397.50	  397.03	  396.79	  396.75	  397.03	  397.41	  397.55	  396.54	  389.88	  365.49	  337.73	  339.91	  357.50	  384.33	  394.40	  394.11	  394.30	  397.65	  396.13	  396.63	  397.41	  397.83	  396.46	  396.59	  396.92	  397.28	  396.71	  397.17	  397.19	  396.61	  396.87	  396.36	  398.09	  396.84	  397.66	  396.30	   18.09	   22.01	   23.06	   21.89	   20.89	   21.23	   21.95	   20.85	   21.01	   19.56	   19.33	   21.45	   -0.20	    0.12	    0.19	    0.22
       8	 12:07:40	   3.000	  186.91	 1008.68	   21.68	 1039.65	   1.192	  309.85	  -26.87	 -123.51	 -215.39	 -246.63	 -246.17	 -234.30	 -235.73	 -226.84	 -214.88	 -195.38	 -193.08	 -180.65	 -169.21	 -151.33	 -142.46	 -131.31	 -125.83	  -84.33	  -40.74	  -27.80	   -8.28	    8.26	   27.14	   50.26	  311.69	  346.98	  190.03	   94.95	   47.64	   28.60	   19.05	   13.11	    9.21	    5.55	    3.67	    2.27	    1.20	    1.00	    1.70	    2.74	    4.95	    8.29	   13.15	   18.88	   25.72	   32.53	   39.04	   50.26	  396.04	  394.10	  395.86	  397.09	  395.34	  394.40	  396.51	  394.69	  396.57	  396.35	  395.30	  395.64	  396.79	  396.43	  395.91	  396.12	  396.30	  396.64	  396.78	  391.57	  364.97	  336.61	  335.76	  360.31	  380.19	  394.49	  395.41	  393.51	  393.63	  396.88	  395.33	  395.84	  396.30	  393.40	  395.41	  395.35	  395.72	  396.09	  395.52	  396.10	  396.01	  395.50	  395.45	  395.22	  396.85	  395.69	  396.55	  395.09	   16.78	   21.71	   22.74	   21.39	   20.24	   20.15	   20.96	   20.00	   19.92	   18.33	   18.13	   21.38	   -1.03	    0.12	    0.15	    0.19
       9	 12:07:58	   4.000	  185.61	 1008.71	   21.71	 1040.32	   1.192	  172.79	 -145.01	 -225.95	 -289.65	 -300.94	 -286.19	 -268.35	 -262.31	 -249.50	 -237.05	 -211.71	 -207.82	 -195.45	 -182.63	 -165.39	 -157.34	 -147.89	 -121.64	  -63.04	  -48.58	  -33.71	  -12.74	    5.99	   25.79	   50.49	  173.61	  373.11	  248.62	  140.28	   80.88	   57.48	   43.93	   34.50	   28.35	   22.58	   18.87	   15.96	   13.57	   12.21	   11.68	   11.71	   12.74	   14.89	   18.69	   23.36	   29.31	   35.60	   41.94	   50.49	  392.07	  390.30	  392.15	  393.17	  391.46	  390.47	  392.44	  390.69	  392.65	  392.40	  391.65	  391.75	  392.72	  392.38	  392.04	  392.05	  392.24	  392.69	  388.76	  361.84	  330.43	  333.05	  356.41	  381.09	  388.38	  392.07	  391.54	  389.68	  389.72	  392.87	  391.41	  391.79	  392.17	  388.42	  391.20	  390.71	  391.44	  392.00	  391.57	  392.01	  392.05	  391.47	  391.22	  391.15	  392.66	  391.59	  392.46	  391.26	   15.88	   21.85	   22.79	   21.29	   19.88	   19.78	   20.34	   19.66	   19.20	   17.49	   17.27	   21.71	   -1.13	    0.12	    0.15	    0.18
