  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 12:31:05	  -4.000	  188.29	 1008.44	   22.14	   0.501	  -4.150	  -0.316	  1040.0	   1.190
       2	 12:31:28	  -3.000	  187.83	 1008.48	   22.31	   0.424	  -2.556	  -0.307	  1039.4	   1.189
       3	 12:31:50	  -2.000	  186.84	 1008.37	   22.41	   0.400	  -1.112	  -0.290	  1040.3	   1.189
       4	 12:32:07	  -1.000	  187.60	 1008.36	   22.45	   0.410	   0.469	  -0.277	  1039.7	   1.188
       5	 12:32:22	   0.000	  187.10	 1008.29	   22.52	   0.436	   2.110	  -0.256	  1039.7	   1.188
       6	 12:32:36	   1.000	  187.41	 1008.39	   22.54	   0.486	   4.362	  -0.238	  1040.2	   1.188
       7	 12:32:53	   2.000	  185.02	 1008.39	   22.59	   0.552	   6.346	  -0.214	  1039.8	   1.188
       8	 12:33:13	   3.000	  188.86	 1008.36	   22.63	   0.634	   8.208	  -0.199	  1039.9	   1.188
       9	 12:33:25	   4.000	  187.77	 1008.41	   22.64	   0.724	   9.940	  -0.202	  1039.9	   1.188
      10	 12:33:38	   5.000	  186.63	 1008.48	   22.68	   0.827	  11.644	  -0.206	  1039.9	   1.188
      11	 12:34:12	   6.000	  187.51	 1008.39	   22.75	   0.958	  13.471	  -0.213	  1039.1	   1.187
      12	 12:34:28	   7.000	  186.13	 1008.41	   22.78	   1.097	  15.156	  -0.219	  1039.5	   1.187
      13	 12:34:46	   8.000	  188.27	 1008.36	   22.82	   1.283	  16.953	  -0.236	  1040.1	   1.187
      14	 12:35:01	   8.500	  186.00	 1008.32	   22.84	   1.354	  17.539	  -0.239	  1039.5	   1.187
      15	 12:35:15	   9.000	  185.64	 1008.33	   22.87	   1.497	  18.754	  -0.247	  1039.8	   1.187
      16	 12:35:29	   9.500	  187.07	 1008.27	   22.87	   1.576	  19.439	  -0.264	  1040.1	   1.187
      17	 12:35:45	   9.750	  186.81	 1008.32	   22.91	   1.617	  19.622	  -0.269	  1040.4	   1.186
      18	 12:36:05	  10.000	  185.89	 1008.34	   22.95	   1.665	  20.067	  -0.267	  1039.7	   1.186
      19	 12:36:26	  10.250	  188.33	 1008.33	   22.97	   1.734	  20.573	  -0.280	  1039.6	   1.186
      20	 12:36:42	  10.500	  185.29	 1008.42	   22.99	   1.790	  20.850	  -0.285	  1040.2	   1.186
      21	 12:36:57	  10.750	  185.29	 1008.40	   23.01	   1.827	  20.958	  -0.290	  1039.9	   1.186
      22	 12:37:08	  11.000	  187.35	 1008.40	   23.02	   1.918	  21.488	  -0.296	  1039.9	   1.186
      23	 12:37:21	  11.250	  190.59	 1008.36	   23.03	   2.013	  21.912	  -0.310	  1039.7	   1.186
      24	 12:37:35	  11.500	  185.04	 1008.39	   23.05	   2.045	  21.713	  -0.320	  1039.7	   1.186
      25	 12:37:49	  11.750	  183.89	 1008.38	   23.06	   2.116	  21.895	  -0.321	  1040.0	   1.186
      26	 12:38:03	  12.000	  185.35	 1008.34	   23.08	   2.207	  22.282	  -0.325	  1040.2	   1.186
      27	 12:38:19	  12.250	  185.19	 1008.33	   23.09	   2.268	  22.347	  -0.333	  1040.0	   1.186
      28	 12:38:37	  12.500	  185.21	 1008.39	   23.11	   2.344	  22.648	  -0.342	  1040.1	   1.186
      29	 12:38:51	  12.750	  189.53	 1008.31	   23.13	   2.436	  22.988	  -0.352	  1039.9	   1.186
      30	 12:39:05	  13.000	  187.26	 1008.34	   23.15	   2.503	  23.220	  -0.362	  1039.5	   1.186
      31	 12:39:21	  13.250	  185.61	 1008.31	   23.17	   2.564	  23.189	  -0.367	  1039.9	   1.185
      32	 12:39:34	  13.500	  188.10	 1008.35	   23.18	   2.669	  23.788	  -0.375	  1040.0	   1.185
      33	 12:39:47	  13.750	  187.63	 1008.37	   23.21	   2.713	  23.670	  -0.385	  1039.9	   1.185
      34	 12:40:01	  14.000	  185.13	 1008.33	   23.23	   2.784	  23.669	  -0.385	  1040.2	   1.185
      35	 12:40:09	  14.250	  188.92	 1008.36	   23.24	   2.896	  23.959	  -0.401	  1039.9	   1.185
      36	 12:40:21	  14.500	  184.94	 1008.35	   23.25	   2.949	  23.582	  -0.402	  1040.4	   1.185
      37	 12:40:31	  14.750	  186.15	 1008.39	   23.26	   3.065	  23.703	  -0.413	  1039.9	   1.185
      38	 12:40:39	  15.000	  185.47	 1008.32	   23.27	   3.125	  23.266	  -0.414	  1040.1	   1.185
      39	 12:40:49	  15.250	  188.61	 1008.33	   23.27	   3.268	  23.525	  -0.424	  1040.1	   1.185
      40	 12:41:01	  15.500	  186.89	 1008.37	   23.28	   3.399	  23.352	  -0.421	  1039.8	   1.185
      41	 12:41:12	  15.750	  186.07	 1008.33	   23.29	   3.530	  23.057	  -0.418	  1040.1	   1.185
      42	 12:41:23	  16.000	  183.52	 1008.36	   23.30	   5.543	  21.571	  -0.288	  1040.2	   1.185
      43	 12:41:37	  16.250	  184.51	 1008.36	   23.32	   5.818	  21.393	  -0.265	  1040.2	   1.185
      44	 12:41:50	  16.500	  184.17	 1008.31	   23.33	   5.959	  20.843	  -0.284	  1040.0	   1.185
      45	 12:42:03	  16.750	  181.28	 1008.37	   23.37	   5.988	  20.278	  -0.279	  1040.4	   1.185
      46	 12:42:15	  17.000	  184.89	 1008.31	   23.37	   6.196	  20.125	  -0.280	  1039.6	   1.185
      47	 12:42:34	  17.500	  187.14	 1008.32	   23.38	   6.425	  19.801	  -0.308	  1039.5	   1.185
      48	 12:42:49	  18.000	  184.95	 1008.34	   23.40	   6.601	  19.299	  -0.325	  1040.4	   1.185
      49	 12:43:08	  18.500	  184.22	 1008.33	   23.42	   6.757	  18.906	  -0.336	  1039.2	   1.184
      50	 12:43:24	  19.000	  185.35	 1008.29	   23.44	   6.926	  18.664	  -0.353	  1039.7	   1.184
      51	 12:43:37	  19.500	  182.78	 1008.29	   23.45	   7.028	  18.274	  -0.332	  1040.1	   1.184
      52	 12:43:51	  20.000	  184.35	 1008.30	   23.48	   7.162	  18.109	  -0.306	  1039.2	   1.184
      53	 12:48:42	  19.500	  181.61	 1008.12	   23.21	   7.081	  18.463	  -0.327	  1040.2	   1.185
      54	 12:48:57	  19.000	  184.08	 1008.12	   23.22	   6.860	  18.433	  -0.340	  1040.1	   1.185
      55	 12:49:11	  18.500	  183.26	 1008.13	   23.22	   6.680	  18.654	  -0.318	  1040.2	   1.185
      56	 12:49:22	  18.000	  182.52	 1008.15	   23.22	   6.511	  19.000	  -0.306	  1039.8	   1.185
      57	 12:49:37	  17.500	  185.60	 1008.11	   23.22	   6.474	  19.853	  -0.284	  1040.0	   1.185
      58	 12:49:51	  17.000	  184.01	 1008.18	   23.25	   6.229	  20.458	  -0.267	  1040.0	   1.185
      59	 12:50:05	  16.750	  185.34	 1008.18	   23.27	   6.149	  20.718	  -0.265	  1039.9	   1.185
      60	 12:50:21	  16.500	  182.05	 1008.18	   23.30	   5.920	  20.649	  -0.249	  1039.9	   1.185
      61	 12:50:35	  16.250	  185.56	 1008.11	   23.31	   5.790	  21.258	  -0.259	  1040.1	   1.185
      62	 12:50:50	  16.000	  184.62	 1008.19	   23.30	   5.613	  21.551	  -0.255	  1040.3	   1.185
      63	 12:51:05	  15.750	  184.42	 1008.10	   23.31	   5.370	  22.243	  -0.273	  1040.1	   1.185
      64	 12:51:21	  15.500	  184.15	 1008.13	   23.33	   5.056	  22.246	  -0.279	  1039.8	   1.185
      65	 12:51:36	  15.250	  188.23	 1008.10	   23.33	   3.287	  23.551	  -0.402	  1040.0	   1.185
      66	 12:51:51	  15.000	  185.50	 1008.11	   23.34	   3.158	  23.452	  -0.387	  1039.7	   1.185
      67	 12:52:06	  14.750	  187.88	 1008.08	   23.34	   3.066	  23.572	  -0.388	  1039.9	   1.184
      68	 12:52:18	  14.500	  185.20	 1008.09	   23.35	   2.993	  23.703	  -0.372	  1040.5	   1.184
      69	 12:52:35	  14.250	  185.40	 1008.11	   23.36	   2.887	  23.641	  -0.367	  1040.2	   1.184
      70	 12:52:48	  14.000	  185.19	 1008.14	   23.38	   2.830	  23.909	  -0.357	  1039.9	   1.184
      71	 12:53:01	  13.750	  180.49	 1008.14	   23.38	   2.667	  23.004	  -0.335	  1040.6	   1.184
      72	 12:53:16	  13.500	  187.30	 1008.13	   23.38	   2.662	  23.615	  -0.340	  1040.0	   1.184
      73	 12:53:29	  13.250	  186.87	 1008.13	   23.38	   2.590	  23.246	  -0.331	  1040.1	   1.184
      74	 12:53:45	  13.000	  188.78	 1008.10	   23.38	   2.538	  23.335	  -0.322	  1039.9	   1.184
      75	 12:53:58	  12.750	  186.98	 1008.01	   23.39	   2.449	  22.985	  -0.311	  1040.4	   1.184
      76	 12:54:12	  12.500	  184.19	 1008.07	   23.39	   2.348	  22.505	  -0.297	  1039.9	   1.184
      77	 12:54:27	  12.250	  187.93	 1008.03	   23.39	   2.324	  22.788	  -0.290	  1039.8	   1.184
      78	 12:54:42	  12.000	  187.97	 1008.03	   23.39	   2.247	  22.485	  -0.283	  1039.8	   1.184
      79	 12:54:55	  11.750	  187.76	 1008.01	   23.39	   2.171	  22.208	  -0.274	  1039.6	   1.184
      80	 12:55:09	  11.500	  188.57	 1007.92	   23.39	   2.103	  22.095	  -0.271	  1039.8	   1.184
      81	 12:55:22	  11.250	  185.57	 1007.99	   23.39	   2.003	  21.557	  -0.255	  1039.1	   1.184
      82	 12:55:32	  11.000	  186.15	 1008.05	   23.39	   1.938	  21.387	  -0.247	  1040.1	   1.184
      83	 12:55:47	  10.750	  187.03	 1008.01	   23.39	   1.872	  21.227	  -0.242	  1039.7	   1.184
      84	 12:55:58	  10.500	  187.69	 1007.99	   23.40	   1.828	  20.934	  -0.230	  1040.0	   1.184
      85	 12:56:12	  10.250	  187.73	 1008.00	   23.40	   1.765	  20.600	  -0.229	  1040.1	   1.184
      86	 12:56:24	  10.000	  188.14	 1007.96	   23.40	   1.704	  20.267	  -0.217	  1040.0	   1.184
      87	 12:56:36	   9.750	  186.30	 1008.00	   23.39	   1.648	  19.875	  -0.207	  1040.3	   1.184
      88	 12:56:48	   9.500	  187.32	 1008.03	   23.39	   1.587	  19.373	  -0.199	  1039.7	   1.184
      89	 12:56:58	   9.000	  187.90	 1008.02	   23.40	   1.506	  18.741	  -0.194	  1039.6	   1.184
      90	 12:57:14	   8.500	  186.87	 1007.99	   23.40	   1.401	  17.874	  -0.176	  1039.7	   1.184
      91	 12:57:26	   8.000	  188.29	 1007.92	   23.41	   1.305	  17.083	  -0.168	  1040.2	   1.184
